Name,Affiliation ,Affiliation Link,Email,Verified Email Link,Citations (Total),Citations (Since 2019),h-index (Total),h-index (Since 2019) ,i10-index (Total),i10-index (Since 2019) ,Interest ,Google Scholar Link
Nhan Phan-Thien,"Professor Emeritus, Mechanical Engineering Department, NUS",https://scholar.google.com/citations?view_op=view_org&hl=en&org=83442941566286721,Verified email at nus.edu.sg - Homepage,https://en.wikipedia.org/wiki/Nhan_Phan-Thien,19057,6395,69,38,296,142,Rheology,https://scholar.google.com/citations?hl=en&user=HJQ3tZgAAAAJ
Thien Phap NGUYEN,University of Nantes - CNRS,https://scholar.google.com/citations?view_op=view_org&hl=en&org=8448305639110907242,Verified email at cnrs-imn.fr,,13180,4282,49,32,197,89,Organic Electronics - Nanocomposites,https://scholar.google.com/citations?hl=en&user=y_SSBIYAAAAJ
Anh H. Nguyen,Lab. of Nanosciences,,Verified email at ualberta.ca - Homepage,http://www.ualberta.ca/,7188,5830,44,39,119,109,Nano-theranosticsNanomaterialsNano-FabMedical Diagnostics devicesBio-nanoparticles,https://scholar.google.com/citations?hl=en&user=Sl1FrGUAAAAJ
Viet Giang Truong,OIST Graduate University,,Verified email at oist.jp,,1693,907,24,21,35,25,Nanophotonics Plasmonics Metamaterials Optical nanofiber particle trapping,https://scholar.google.com/citations?hl=en&user=rvjL-ZgAAAAJ
Quoc An Vu,"Postdoctoral Researcher at IBS Center for Integrated Nanostructure Physics, Sungkyunkwan University",https://scholar.google.com/citations?view_op=view_org&hl=en&org=1833112781109911660,Verified email at skku.edu - Homepage,http://shb.skku.edu/nanotube/menu2/sub2_1.jsp,3140,2254,19,18,20,20,Material science and engineeringNanoelectronic and optoelectronic devices,https://scholar.google.com/citations?hl=en&user=rgh417wAAAAJ
Thao Dang,"CNRS Research Director, Laboratory VERIMAG, Grenoble, France",,Verified email at imag.fr - Homepage,http://www-verimag.imag.fr/~tdang,6726,1963,36,22,64,38,formal methodshybrid systemscyber-physical systemsmodel-based testingsystems biology,https://scholar.google.com/citations?hl=en&user=YIOQihEAAAAJ
Long Que,"Professor of Electrical and Computer Engineering, Iowa State University",https://scholar.google.com/citations?view_op=view_org&hl=en&org=6475359541978304122,Verified email at iastate.edu - Homepage,https://lque.ece.iastate.edu/index.html,2974,975,28,16,68,34,MEMS-neuroscience MEMS-ophthalmology MEMS-microbiota Microfluidics-hematology,https://scholar.google.com/citations?hl=en&user=X33lneEAAAAJ
Kiet Tuan Pham,University of Melbourne,https://scholar.google.com/citations?view_op=view_org&hl=en&org=10194437184893062620,Verified email at student.unimelb.edu.au,,111,111,4,4,4,4,Energy Storage & ConversionMaterials Science,https://scholar.google.com/citations?hl=en&user=sgCHlsEAAAAJ
Chien Ho,Carnegie Mellon University,https://scholar.google.com/citations?view_op=view_org&hl=en&org=17554517495610703090,Verified email at andrew.cmu.edu - Homepage,http://www.cmu.edu/bio/Ho/html,19826,3233,73,30,318,87,cell trackingnano drug deliveryhemoglobinintralipiddetection of organ transplant rejection,https://scholar.google.com/citations?hl=en&user=8iLLOQgAAAAJ
"Nguyen Quang Chinh, Professor",Eötvös Loránd University,https://scholar.google.com/citations?view_op=view_org&hl=en&org=6631059813453245261,Verified email at metal.elte.hu,,4399,1799,33,22,77,45,Materials Science,https://scholar.google.com/citations?hl=en&user=9i4abIwAAAAJ
Nam Pho,University of Washington,https://scholar.google.com/citations?view_op=view_org&hl=en&org=5340226318625937772,Verified email at uw.edu,,25580,12594,14,14,16,15,Computer ScienceBiotechnologyMedical Informatics,https://scholar.google.com/citations?hl=en&user=QHUk6wgAAAAJ
Cuong Ton-That,"Associate Professor, University of Technology Sydney",https://scholar.google.com/citations?view_op=view_org&hl=en&org=10906564628192137533,Verified email at uts.edu.au - Homepage,https://profiles.uts.edu.au/Cuong.Ton-That,4178,2004,33,24,64,48,,https://scholar.google.com/citations?hl=en&user=c8ScwYcAAAAJ
Son V Nguyen .,"Principle Research Staff, IBM research",,Verified email at us.ibm.com,,10556,5210,49,30,161,74,nano science and engineringnanoelectronicLow k dielectrics,https://scholar.google.com/citations?hl=en&user=ypvdwHYAAAAJ
Khang Hoang,North Dakota State University,https://scholar.google.com/citations?view_op=view_org&hl=en&org=4717565816565658026,Verified email at ndsu.edu - Homepage,https://ndsu.edu/ccast,2999,1379,30,23,45,35,materials theorydefect physicsrare earthsenergy storagepersistent luminescence,https://scholar.google.com/citations?hl=en&user=sTTQCXQAAAAJ
NGUYEN THANH BINH,"Doctor of Physical Chemistry, Chemical Defense College",,No verified email,,9567,8155,52,45,179,156,Physical ChemistryTreatment WastwaterChemical Engineering,https://scholar.google.com/citations?hl=en&user=vYQynBYAAAAJ
Minh-Quyen LE,"Associate professor, INSA de Lyon, LGEF",https://scholar.google.com/citations?view_op=view_org&hl=en&org=5894927930181964761,Verified email at insa-lyon.fr - Homepage,https://scholar.google.fr/citations?user=1vbjljoAAAAJ&hl=fr,1911,1436,26,24,55,46,Polymer compositesMultifunctional materialsActuating and sensing devices,https://scholar.google.com/citations?hl=en&user=1vbjljoAAAAJ
Andrew Dai,Google DeepMind,https://scholar.google.com/citations?view_op=view_org&hl=en&org=6518679690484165796,Verified email at google.com - Homepage,https://research.google.com/pubs/AndrewDai.html,32545,30878,46,44,69,66,Language modelsMachine learningSequence modelsBayesian nonparametricsDirichlet processes,https://scholar.google.com/citations?hl=en&user=2r2NuDAAAAAJ
Trang Hoang,"Professor, IRIC, University of Montreal",https://scholar.google.com/citations?view_op=view_org&hl=en&org=4964519586676348649,Verified email at umontreal.ca - Homepage,https://www.iric.ca/en/research/principal-investigators/trang-hoang/,13174,2592,47,21,78,35,stem cell biologyoncogenic reprogrammingacute leukemia,https://scholar.google.com/citations?hl=en&user=ZId5eW8AAAAJ
Pham Ngoc Dong,"Researcher at Institute for Nuclear Science and Technology, Vietnam Atomic Energy Institute (Vinatom",,Verified email at vinatom.gov.vn - Homepage,http://www.inst.gov.vn/,22688,3472,71,32,155,69,Probabilistic Risk AssessmentNuclear SafetyNuclear EngineeringHigh energy cosmic raysAstroparticle physics and astronomy,https://scholar.google.com/citations?hl=en&user=qlFP-IEAAAAJ
